origin,destination,count,del_count,can_count,
IAD,MCO,1822,422,21,
IAD,MDW,742,101,13,
IAD,MIA,886,126,6,
IAD,MSP,673,79,8,
IAD,OKC,5,3,1,
IAD,ORD,1896,398,42,
IAD,PBI,59,15,3,
IAD,PDX,273,92,1,
IAD,PHX,365,121,3,
IAD,PIT,228,55,12,
IAD,PVD,61,20,4,
IAD,RDU,463,104,8,
IAD,ROC,116,31,4,
IAD,RSW,88,23,3,
IAD,SAN,1231,217,10,
IAD,SAT,23,4,1,
IAD,SAV,87,28,1,
IAD,SEA,1187,222,3,
IAD,SFO,3984,798,36,
IAD,SJU,172,46,1,
IAD,SMF,270,84,5,
IAD,STT,153,33,1,
IAD,SYR,24,4,1,
IAD,TPA,1072,225,7,
IAD,TYS,22,5,1,
IAD,BTV,6,3,0,
IAD,CHS,4,3,0,
IAD,CLT,11,2,0,
IAD,CVG,85,14,0,
IAD,DAY,1,1,0,
IAD,GRR,4,1,0,
IAD,GSP,8,1,0,
IAD,HDN,15,3,0,
IAD,HSV,4,1,0,
IAD,IND,30,7,0,
IAD,JAX,13,4,0,
IAD,MCI,6,2,0,
IAD,MEM,81,11,0,
IAD,MSY,219,34,0,
IAD,SDF,6,1,0,
IAD,STL,9,5,0,
IAD,TTN,1,1,0,
IAD,TUL,5,2,0,
IAD,MSN,1,0,0,
IAH,BWI,1101,280,14,
IAH,DCA,2230,529,40,
IAH,IAD,1417,345,18,
IND,BWI,1108,193,26,
IND,DCA,805,119,16,
IND,IAD,23,4,0,
ISP,BWI,1700,315,61,
JAC,IAD,19,2,1,
JAX,BWI,1198,183,17,
JAX,DCA,731,72,5,
JAX,IAD,13,3,0,
JFK,BWI,364,73,33,
JFK,DCA,1033,226,106,
JFK,IAD,1039,237,39,
LAS,BWI,1863,437,11,
LAS,DCA,361,39,2,
LAS,IAD,1287,287,6,
LAX,BWI,1268,287,4,
LAX,DCA,1093,123,7,
LAX,IAD,3860,684,25,
LEX,DCA,2,0,0,
LGA,DCA,4718,772,368,
LGA,IAD,205,63,33,
LIT,BWI,351,70,7,
MCI,BWI,890,164,12,
MCI,DCA,721,122,9,
